cenario;arquivo_instancia;makespan_final;ddlb;razao_ms_ddlb;melhoria_ms;iteracoes;tempo_ga_ms
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_1.json;57709,00;50389,03;1,1453;17283,15;362;163,85
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_10.json;61845,70;48695,46;1,2701;15767,89;299;139,71
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_2.json;56747,95;50280,70;1,1286;22200,99;377;191,73
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_3.json;58510,47;48868,98;1,1973;15452,49;231;107,84
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_4.json;58726,15;49795,15;1,1794;17025,33;432;207,69
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_5.json;58063,78;49133,42;1,1818;20014,27;430;199,82
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_6.json;58476,43;48006,59;1,2181;14641,52;312;155,71
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_7.json;56901,68;49772,14;1,1432;16437,71;335;155,58
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_8.json;58517,30;51150,84;1,1440;19236,07;260;119,92
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_9.json;59589,81;49789,36;1,1968;20681,25;336;155,32
HHHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHL\HHHHHHL_1.json;18518,40;14049,67;1,3181;1353,84;7;0,00
HHHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHL\HHHHHHL_10.json;18580,29;14864,39;1,2500;2568,38;36;2,04
